#{"t_start": 1745691977.823762, "env_id": "None"}
r,l,t
1.0,3,3.678101
1.0,3,3.709055
1.0,3,3.739734
1.0,3,3.759803
1.0,4,3.76919
1.0,3,3.771565
-1.5,3,3.781393
1.0,3,3.783431
1.0,3,3.783431
1.0,3,3.783431
1.0,4,3.797627
0.5,5,3.797627
1.0,3,3.797627
-2.0,5,3.797627
1.0,3,3.81203
1.0,3,3.81203
1.0,4,3.817975
1.0,3,3.817975
-1.5,5,3.817975
-1.5,4,3.828057
1.0,3,3.828057
1.0,3,3.828057
1.0,3,3.828057
1.0,3,3.828057
1.0,4,3.828057
1.0,3,3.828057
-1.5,3,3.828057
-2.0,5,3.845384
1.0,3,3.847228
1.0,3,3.849464
1.0,4,3.850508
-2.0,5,3.850508
1.0,3,3.850508
-1.5,3,3.86003
-1.5,5,3.86003
-1.5,5,3.86003
-2.0,5,3.86003
-2.0,5,3.876036
1.0,3,3.877192
-1.5,5,3.877192
-1.5,4,3.883729
1.0,3,3.886537
-1.5,3,3.886537
1.0,3,3.892637
-2.0,5,3.894626
1.0,3,3.894626
1.0,3,3.899711
1.0,3,3.903052
1.0,3,3.903052
-1.5,4,3.90806
-1.5,3,3.909653
1.0,4,3.914356
1.0,3,3.914356
-2.0,5,3.917024
1.0,4,3.917024
-1.5,5,3.92404
-2.0,5,3.92404
1.0,4,3.92404
-1.5,5,3.930812
1.0,4,3.936491
1.0,3,3.938498
1.0,3,3.940005
1.0,3,3.944021
-2.0,5,3.948034
0.5,5,3.950041
1.0,4,3.952047
1.0,3,3.955801
1.0,3,3.957809
-1.5,5,3.961822
1.0,4,3.965835
1.0,3,3.96784
1.0,3,3.971598
-2.0,5,3.975614
1.0,3,3.977621
-2.0,5,3.979628
1.0,4,3.981634
-2.0,5,3.985646
-1.5,5,3.987396
1.0,3,3.989402
-1.5,5,3.993416
1.0,4,3.995422
1.0,3,3.997429
1.0,3,3.999435
1.0,3,3.999435
1.0,3,4.001441
1.0,4,4.005197
1.0,4,4.007203
-1.5,5,4.00921
-2.0,5,4.013464
-2.0,5,4.018975
-1.5,3,4.021257
-2.0,5,4.022497
1.0,4,4.022497
1.0,3,4.029716
1.0,4,4.034714
1.0,4,4.036138
1.0,3,4.036138
1.0,4,4.041518
1.0,4,4.043524
1.0,4,4.043524
1.0,4,4.051796
-1.5,4,4.052882
1.0,4,4.057746
1.0,3,4.057746
1.0,3,4.057746
1.0,3,4.065051
1.0,4,4.067803
-1.5,3,4.067803
1.0,4,4.071693
1.0,3,4.073355
1.0,3,4.073355
1.0,4,4.073355
1.0,4,4.081799
1.0,4,4.084024
1.0,3,4.084024
1.0,3,4.089781
1.0,4,4.091962
1.0,3,4.093963
1.0,4,4.096586
1.0,3,4.098949
1.0,3,4.102015
1.0,4,4.105608
-1.5,4,4.108903
