#{"t_start": 1745253351.5472279, "env_id": "None"}
r,l,t
-1.0,4,0.043118
1.0,4,0.049644
-1.0,4,0.055604
1.0,3,0.057345
1.0,3,0.061364
1.0,4,0.065369
-1.0,4,0.070455
1.0,4,0.075465
1.0,3,0.077179
-1.0,3,0.081193
1.0,5,0.086207
1.0,3,0.090219
-1.0,4,0.094225
1.0,5,0.099059
1.0,3,0.103065
-1.0,4,0.106575
0.5,5,0.11259
1.0,4,0.116604
1.0,5,0.121283
1.0,4,0.126315
1.0,5,0.131588
1.0,3,0.134881
-1.0,3,0.137699
-1.0,4,0.139832
1.0,4,0.146382
1.0,5,0.152416
1.0,5,0.157195
0.5,5,0.162231
-1.0,3,0.16635
1.0,4,0.169364
1.0,4,0.174533
1.0,5,0.17966
1.0,3,0.181642
1.0,4,0.186967
1.0,5,0.193001
1.0,4,0.196539
-1.0,4,0.198551
-1.0,4,0.20625
-1.0,4,0.206963
0.5,5,0.215348
1.0,4,0.218579
1.0,5,0.223579
1.0,3,0.226242
1.0,5,0.231589
1.0,4,0.233927
1.0,4,0.237587
1.0,4,0.237587
1.0,4,0.237587
-1.0,4,0.247348
1.0,4,0.247348
1.0,5,0.25652
-1.0,3,0.258884
1.0,3,0.26168
0.5,5,0.266266
-1.0,4,0.267512
1.0,4,0.267512
1.0,5,0.277686
1.0,5,0.279693
0.5,5,0.286926
-1.0,4,0.290398
1.0,4,0.293454
-1.0,4,0.297283
1.0,5,0.297283
1.0,4,0.305686
1.0,5,0.309435
1.0,4,0.311915
1.0,3,0.315585
1.0,3,0.317687
1.0,5,0.321835
0.5,5,0.326205
-1.0,4,0.329957
1.0,3,0.332482
0.5,5,0.336497
-1.0,3,0.339154
-1.0,4,0.341157
1.0,4,0.347965
1.0,4,0.349229
0.5,5,0.357158
-1.0,4,0.361939
0.5,5,0.366459
1.0,4,0.370955
1.0,4,0.37233
1.0,4,0.378476
1.0,4,0.379989
1.0,5,0.38642
1.0,4,0.389661
1.0,4,0.389661
0.5,5,0.397352
1.0,4,0.397877
1.0,5,0.404583
1.0,4,0.407641
-1.0,4,0.412329
1.0,4,0.415556
-1.0,4,0.419731
0.5,5,0.419731
-1.0,4,0.427642
-1.0,4,0.431648
1.0,3,0.431648
1.0,5,0.439206
-1.0,3,0.439206
0.5,5,0.446234
1.0,4,0.447329
1.0,3,0.451334
1.0,5,0.455368
1.0,4,0.459378
1.0,4,0.462921
1.0,4,0.466213
1.0,4,0.46894
-1.0,4,0.472167
1.0,4,0.476287
1.0,5,0.477591
1.0,4,0.483183
-1.0,4,0.487626
1.0,5,0.49028
1.0,5,0.4963
-1.0,4,0.498818
0.5,5,0.503104
0.5,5,0.507215
0.5,5,0.513586
1.0,4,0.517136
1.0,4,0.519144
1.0,4,0.525233
-1.0,4,0.52902
1.0,4,0.531537
0.5,5,0.536447
1.0,5,0.536447
1.0,4,0.536447
1.0,4,0.546978
1.0,4,0.546978
1.0,3,0.546978
1.0,5,0.556529
1.0,5,0.561584
1.0,5,0.566926
1.0,5,0.566926
1.0,5,0.577451
-1.0,4,0.58147
0.5,5,0.587286
1.0,5,0.593319
1.0,4,0.597987
1.0,4,0.60295
-1.0,4,0.608245
-1.0,4,0.610439
0.5,5,0.619461
1.0,3,0.620714
1.0,5,0.627994
-1.0,4,0.632032
0.5,5,0.638668
1.0,5,0.646751
1.0,4,0.651531
1.0,4,0.65724
1.0,5,0.661873
1.0,5,0.666403
1.0,4,0.670451
1.0,5,0.677215
1.0,4,0.685302
-1.0,3,0.686314
0.5,5,0.693998
0.5,5,0.698255
1.0,4,0.698255
0.5,5,0.709434
1.0,5,0.714614
-1.0,4,0.71932
1.0,4,0.723331
1.0,5,0.726626
0.5,5,0.734072
-1.0,4,0.739338
1.0,5,0.745407
-1.0,3,0.748453
1.0,5,0.754461
-1.0,3,0.75827
-1.0,3,0.759344
-1.0,4,0.763629
0.5,5,0.766146
1.0,5,0.776355
1.0,4,0.777614
-1.0,4,0.781437
1.0,3,0.78555
-1.0,4,0.78656
0.5,5,0.790642
1.0,4,0.796791
1.0,4,0.797911
1.0,5,0.797911
-1.0,4,0.809302
1.0,4,0.812626
1.0,4,0.816178
-1.0,4,0.819589
-1.0,3,0.819589
-1.0,4,0.826825
1.0,4,0.826825
1.0,5,0.831349
-1.0,3,0.83646
-1.0,3,0.840498
1.0,5,0.845519
-1.0,3,0.847309
1.0,4,0.851342
-1.0,4,0.856432
0.5,5,0.86047
1.0,4,0.86047
0.5,5,0.8684
0.5,5,0.872129
-1.0,4,0.877161
1.0,4,0.883129
1.0,3,0.886143
-1.0,4,0.890121
1.0,4,0.890121
1.0,5,0.897678
1.0,5,0.897678
-1.0,4,0.905471
1.0,3,0.907718
1.0,4,0.907718
1.0,3,0.914248
-1.0,4,0.916292
1.0,4,0.920148
-1.0,4,0.922981
-1.0,3,0.927224
1.0,5,0.931494
-1.0,4,0.935594
